Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0078346,2025-08-01,2025-08-01,,"Superman","Superman",https://www.imdb.com/title/tt0078346/,Movie,7.4,143,1978,"Action, Adventure, Sci-Fi",202610,1978-12-15,"Richard Donner",,
2,tt0081573,2025-08-01,2025-08-01,,"Superman II","Superman II",https://www.imdb.com/title/tt0081573/,Movie,6.8,127,1980,"Action, Adventure, Sci-Fi",121878,1981-06-19,"Richard Lester, Richard Donner",,
3,tt0084745,2025-08-01,2025-08-01,,"Swamp Thing","Swamp Thing",https://www.imdb.com/title/tt0084745/,Movie,5.3,91,1982,"Horror, Sci-Fi",17866,1982-02-19,"Wes Craven",,
4,tt0086393,2025-08-01,2025-08-01,,"Superman III","Superman III",https://www.imdb.com/title/tt0086393/,Movie,5.0,125,1983,"Action, Adventure, Comedy, Sci-Fi",79527,1983-06-17,"Richard Lester",,
5,tt0088206,2025-08-01,2025-08-01,,"Supergirl","Supergirl",https://www.imdb.com/title/tt0088206/,Movie,4.4,124,1984,"Action, Adventure, Fantasy, Romance, Sci-Fi",25605,1984-11-21,"Jeannot Szwarc",,
6,tt0094074,2025-08-01,2025-08-01,,"Superman IV: The Quest for Peace","Superman IV: The Quest for Peace",https://www.imdb.com/title/tt0094074/,Movie,3.8,90,1987,"Action, Adventure, Sci-Fi",56908,1987-07-24,"Sidney J. Furie",,
7,tt0098193,2025-08-01,2025-08-01,,"The Return of Swamp Thing","The Return of Swamp Thing",https://www.imdb.com/title/tt0098193/,Movie,4.7,88,1989,"Action, Adventure, Comedy, Horror, Sci-Fi",6723,1989-05-12,"Jim Wynorski",,
8,tt0096895,2025-08-01,2025-08-01,,"Batman","Batman",https://www.imdb.com/title/tt0096895/,Movie,7.5,126,1989,"Action, Adventure",423191,1989-06-23,"Tim Burton",,
9,tt0103776,2025-08-01,2025-08-01,,"Batman Returns","Batman Returns",https://www.imdb.com/title/tt0103776/,Movie,7.1,126,1992,"Action, Crime, Fantasy",342695,1992-06-19,"Tim Burton",,
10,tt0112462,2025-08-01,2025-08-01,,"Batman Forever","Batman Forever",https://www.imdb.com/title/tt0112462/,Movie,5.4,121,1995,"Action, Adventure",277207,1995-06-16,"Joel Schumacher",,
11,tt0118688,2025-08-01,2025-08-01,,"Batman & Robin","Batman & Robin",https://www.imdb.com/title/tt0118688/,Movie,3.8,125,1997,"Action, Sci-Fi",277688,1997-06-20,"Joel Schumacher",,
12,tt0120207,2025-08-01,2025-08-01,,"Steel","Steel",https://www.imdb.com/title/tt0120207/,Movie,3.0,97,1997,"Action, Adventure, Crime, Fantasy, Sci-Fi",15655,1997-08-15,"Kenneth Johnson",,
13,tt0132347,2025-08-01,2025-08-01,,"Mystery Men","Mystery Men",https://www.imdb.com/title/tt0132347/,Movie,6.1,121,1999,"Action, Comedy, Fantasy, Sci-Fi",72875,1999-08-06,"Kinka Usher",,
14,tt0327554,2025-08-01,2025-08-01,,"Catwoman","Catwoman",https://www.imdb.com/title/tt0327554/,Movie,3.4,104,2004,"Action, Crime, Fantasy",130020,2004-07-23,"Pitof",,
15,tt0360486,2025-08-01,2025-08-01,,"Constantine","Constantine",https://www.imdb.com/title/tt0360486/,Movie,7.0,121,2005,"Action, Fantasy, Horror, Mystery",397392,2005-02-18,"Francis Lawrence",,
16,tt0372784,2025-08-01,2025-08-01,,"Batman Begins","Batman Begins",https://www.imdb.com/title/tt0372784/,Movie,8.2,140,2005,"Action, Crime, Drama, Thriller",1664639,2005-06-15,"Christopher Nolan",,
17,tt0348150,2025-08-01,2025-08-01,,"Superman Returns","Superman Returns",https://www.imdb.com/title/tt0348150/,Movie,6.1,154,2006,"Action, Adventure, Sci-Fi",299621,2006-06-30,"Bryan Singer",,
18,tt0839995,2025-08-01,2025-08-01,,"Superman II: The Richard Donner Cut","Superman II: The Richard Donner Cut",https://www.imdb.com/title/tt0839995/,Movie,7.6,115,2006,"Action, Adventure, Romance, Sci-Fi",20961,2006-11-15,"Richard Donner, Richard Lester",,
19,tt0468569,2025-08-01,2025-08-01,,"The Dark Knight","The Dark Knight",https://www.imdb.com/title/tt0468569/,Movie,9.1,152,2008,"Action, Crime, Drama, Thriller",3060285,2008-07-18,"Christopher Nolan",,
20,tt0409459,2025-08-01,2025-08-01,,"Watchmen","Watchmen",https://www.imdb.com/title/tt0409459/,Movie,7.6,162,2009,"Action, Drama, Mystery, Sci-Fi",601966,2009-03-06,"Zack Snyder",,
21,tt1075747,2025-08-01,2025-08-01,,"Jonah Hex","Jonah Hex",https://www.imdb.com/title/tt1075747/,Movie,4.7,81,2010,"Action, Drama, Fantasy, Thriller, Western",63627,2010-06-18,"Jimmy Hayward",,
22,tt1133985,2025-08-01,2025-08-01,,"Green Lantern","Green Lantern",https://www.imdb.com/title/tt1133985/,Movie,5.5,114,2011,"Action, Adventure, Sci-Fi",304852,2011-06-17,"Martin Campbell",,
23,tt1345836,2025-08-01,2025-08-01,,"The Dark Knight Rises","The Dark Knight Rises",https://www.imdb.com/title/tt1345836/,Movie,8.4,164,2012,"Action, Crime, Drama, Thriller",1934789,2012-07-20,"Christopher Nolan",,
24,tt0770828,2025-08-01,2025-08-01,,"Man of Steel","Man of Steel",https://www.imdb.com/title/tt0770828/,Movie,7.1,143,2013,"Action, Adventure, Sci-Fi",849982,2013-06-14,"Zack Snyder",,
25,tt2975590,2025-08-01,2025-08-01,,"Batman v Superman: Dawn of Justice","Batman v Superman: Dawn of Justice",https://www.imdb.com/title/tt2975590/,Movie,6.4,151,2016,"Action, Adventure, Sci-Fi",778573,2016-03-25,"Zack Snyder",,
26,tt1386697,2025-08-01,2025-08-01,,"Suicide Squad","Suicide Squad",https://www.imdb.com/title/tt1386697/,Movie,5.9,123,2016,"Action, Adventure, Fantasy, Sci-Fi",746381,2016-08-05,"David Ayer",,
27,tt0451279,2025-08-01,2025-08-01,,"Wonder Woman","Wonder Woman",https://www.imdb.com/title/tt0451279/,Movie,7.3,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",724855,2017-06-02,"Patty Jenkins",,
28,tt0974015,2025-08-01,2025-08-01,,"Justice League","Justice League",https://www.imdb.com/title/tt0974015/,Movie,6.0,120,2017,"Action, Adventure, Fantasy, Sci-Fi",495998,2017-11-17,"Zack Snyder",,
29,tt1477834,2025-08-01,2025-08-01,,"Aquaman","Aquaman",https://www.imdb.com/title/tt1477834/,Movie,6.8,143,2018,"Action, Adventure, Fantasy, Sci-Fi",542377,2018-12-21,"James Wan",,
30,tt0448115,2025-08-01,2025-08-01,,"Shazam!","Shazam!",https://www.imdb.com/title/tt0448115/,Movie,7.0,132,2019,"Action, Adventure, Comedy, Fantasy",404564,2019-04-05,"David F. Sandberg",,
31,tt7286456,2025-08-01,2025-08-01,,"Joker","Joker",https://www.imdb.com/title/tt7286456/,Movie,8.3,122,2019,"Crime, Drama, Thriller",1632611,2019-10-04,"Todd Phillips",,
32,tt7713068,2025-08-01,2025-08-01,,"Birds of Prey and the Fantabulous Emancipation of One Harley Quinn","Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)",https://www.imdb.com/title/tt7713068/,Movie,6.1,109,2020,"Action, Comedy, Crime",276727,2020-02-07,"Cathy Yan",,
33,tt7126948,2025-08-01,2025-08-01,,"Wonder Woman 1984","Wonder Woman 1984",https://www.imdb.com/title/tt7126948/,Movie,5.3,151,2020,"Action, Adventure, Fantasy",305044,2020-12-25,"Patty Jenkins",,
34,tt12361974,2025-08-01,2025-08-01,,"Zack Snyder's Justice League","Zack Snyder's Justice League",https://www.imdb.com/title/tt12361974/,Movie,7.9,242,2021,"Action, Adventure, Fantasy, Sci-Fi",462103,2021-03-18,"Zack Snyder",,
35,tt6334354,2025-08-01,2025-08-01,,"The Suicide Squad","The Suicide Squad",https://www.imdb.com/title/tt6334354/,Movie,7.2,132,2021,"Action, Adventure, Comedy, Sci-Fi",440566,2021-08-05,"James Gunn",,
36,tt1877830,2025-08-01,2025-08-01,,"The Batman","The Batman",https://www.imdb.com/title/tt1877830/,Movie,7.8,176,2022,"Action, Crime, Drama, Mystery, Thriller",889002,2022-03-04,"Matt Reeves",,
37,tt6443346,2025-08-01,2025-08-01,,"Black Adam","Black Adam",https://www.imdb.com/title/tt6443346/,Movie,6.2,125,2022,"Action, Adventure, Fantasy, Sci-Fi",296674,2022-10-21,"Jaume Collet-Serra",,
38,tt10151854,2025-08-01,2025-08-01,,"Shazam! Fury of the Gods","Shazam! Fury of the Gods",https://www.imdb.com/title/tt10151854/,Movie,5.9,130,2023,"Action, Adventure, Comedy, Fantasy, Sci-Fi",140112,2023-03-17,"David F. Sandberg",,
39,tt0439572,2025-08-01,2025-08-01,,"The Flash","The Flash",https://www.imdb.com/title/tt0439572/,Movie,6.6,144,2023,"Action, Adventure, Fantasy, Sci-Fi",238850,2023-06-16,"Andy Muschietti",,
40,tt9362930,2025-08-01,2025-08-01,,"Blue Beetle","Blue Beetle",https://www.imdb.com/title/tt9362930/,Movie,5.9,127,2023,"Action, Adventure, Sci-Fi, Thriller",111205,2023-08-18,"Angel Manuel Soto",,
41,tt9663764,2025-08-01,2025-08-01,,"Aquaman and the Lost Kingdom","Aquaman and the Lost Kingdom",https://www.imdb.com/title/tt9663764/,Movie,5.6,124,2023,"Action, Adventure, Fantasy, Sci-Fi",110327,2023-12-22,"James Wan",,
42,tt11315808,2025-08-01,2025-08-01,,"Joker: Folie à Deux","Joker: Folie à Deux",https://www.imdb.com/title/tt11315808/,Movie,5.2,138,2024,"Drama, Musical, Thriller",169749,2024-10-04,"Todd Phillips",,
43,tt5950044,2025-08-01,2025-08-01,,"Superman","Superman",https://www.imdb.com/title/tt5950044/,Movie,7.4,129,2025,"Action, Adventure, Sci-Fi",225394,2025-07-11,"James Gunn",,
