Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0094559,2025-08-01,2025-08-01,,"Superboy","Superboy",https://www.imdb.com/title/tt0094559/,TV Series,6.0,30,1988,"Action, Adventure, Family, Fantasy, Sci-Fi",1593,1988-10-08,,,
2,tt0098919,2025-08-01,2025-08-01,,"Swamp Thing","Swamp Thing",https://www.imdb.com/title/tt0098919/,TV Series,6.3,30,1990,"Horror, Sci-Fi",1172,1990-07-27,,,
3,tt0098798,2025-08-01,2025-08-01,,"The Flash","The Flash",https://www.imdb.com/title/tt0098798/,TV Series,7.1,48,1990,"Action, Crime, Fantasy, Sci-Fi",8514,1990-09-20,,,
4,tt0103447,2025-08-01,2025-08-01,,"Human Target","Human Target",https://www.imdb.com/title/tt0103447/,TV Series,6.2,60,1992,"Action, Adventure",256,1992-07-20,,,
5,tt0106057,2025-08-01,2025-08-01,,"Lois & Clark: The New Adventures of Superman","Lois & Clark: The New Adventures of Superman",https://www.imdb.com/title/tt0106057/,TV Series,6.7,46,1993,"Adventure, Comedy, Drama, Romance, Sci-Fi",28228,1993-09-12,,,
6,tt0279600,2025-08-01,2025-08-01,,"Smallville","Smallville",https://www.imdb.com/title/tt0279600/,TV Series,7.5,60,2001,"Action, Adventure, Drama, Sci-Fi",146162,2001-10-16,,,
7,tt0312098,2025-08-01,2025-08-01,,"Birds of Prey","Birds of Prey",https://www.imdb.com/title/tt0312098/,TV Series,6.4,41,2002,"Action, Adventure, Drama, Fantasy, Sci-Fi",5829,2002-10-09,,,
8,tt1439741,2025-08-01,2025-08-01,,"Human Target","Human Target",https://www.imdb.com/title/tt1439741/,TV Series,7.7,60,2010,"Action, Adventure, Crime, Drama, Thriller",19225,2010-01-17,,,
9,tt2193021,2025-08-01,2025-08-01,,"Arrow","Arrow",https://www.imdb.com/title/tt2193021/,TV Series,7.5,42,2012,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",456187,2012-10-10,,,
10,tt3749900,2025-08-01,2025-08-01,,"Gotham","Gotham",https://www.imdb.com/title/tt3749900/,TV Series,7.8,42,2014,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",248401,2014-09-22,,,
11,tt3107288,2025-08-01,2025-08-01,,"The Flash","The Flash",https://www.imdb.com/title/tt3107288/,TV Series,7.5,43,2014,"Action, Adventure, Drama, Sci-Fi",379445,2014-10-07,,,
12,tt3489184,2025-08-01,2025-08-01,,"Constantine","Constantine",https://www.imdb.com/title/tt3489184/,TV Series,7.5,43,2014,"Crime, Drama, Fantasy, Horror, Thriller",57850,2014-10-24,,,
13,tt3501584,2025-08-01,2025-08-01,,"iZombie","iZombie",https://www.imdb.com/title/tt3501584/,TV Series,7.8,42,2015,"Comedy, Crime, Drama, Horror, Mystery",77666,2015-03-17,,,
14,tt4016454,2025-08-01,2025-08-01,,"Supergirl","Supergirl",https://www.imdb.com/title/tt4016454/,TV Series,6.2,43,2015,"Action, Adventure, Drama, Sci-Fi",133070,2015-10-26,,,
15,tt4532368,2025-08-01,2025-08-01,,"DC's Legends of Tomorrow","Legends of Tomorrow",https://www.imdb.com/title/tt4532368/,TV Series,6.7,42,2016,"Action, Adventure, Drama, Sci-Fi",113166,2016-01-21,,,
16,tt4052886,2025-08-01,2025-08-01,,"Lucifer","Lucifer",https://www.imdb.com/title/tt4052886/,TV Series,8.0,45,2016,"Crime, Drama, Fantasy",379740,2016-01-25,,,
17,tt5016504,2025-08-01,2025-08-01,,"Preacher","Preacher",https://www.imdb.com/title/tt5016504/,TV Series,7.9,60,2016,"Adventure, Comedy, Fantasy, Mystery",85601,2016-05-22,,,
18,tt5083928,2025-08-01,2025-08-01,,"Powerless","Powerless",https://www.imdb.com/title/tt5083928/,TV Series,6.4,21,2016,"Comedy, Fantasy, Sci-Fi",7745,2017-02-02,,,
19,tt6045840,2025-08-01,2025-08-01,,"Black Lightning","Black Lightning",https://www.imdb.com/title/tt6045840/,TV Series,6.1,43,2018,"Action, Drama, Sci-Fi",28542,2018-01-16,,,
20,tt4276624,2025-08-01,2025-08-01,,"Krypton","Krypton",https://www.imdb.com/title/tt4276624/,TV Series,6.8,45,2018,"Action, Adventure, Drama, Sci-Fi",18327,2018-03-21,,,
21,tt1043813,2025-08-01,2025-08-01,,"Titans","Titans",https://www.imdb.com/title/tt1043813/,TV Series,7.5,45,2018,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",117253,2018-10-12,,,
