Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0103584,2025-08-01,2025-08-01,,"X-Men","X-Men",https://www.imdb.com/title/tt0103584/,TV Series,8.4,23,1992,"Animation, Action, Adventure, Family, Sci-Fi",52913,1992-10-31,,,
2,tt0128886,2025-08-01,2025-08-01,,"NightMan","Night Man",https://www.imdb.com/title/tt0128886/,TV Series,5.6,45,1997,"Action, Adventure, Drama, Sci-Fi",985,1997-09-30,,,
3,tt0283203,2025-08-01,2025-08-01,,"Mutant X","Mutant X",https://www.imdb.com/title/tt0283203/,TV Series,5.8,60,2001,"Action, Adventure, Drama, Fantasy, Sci-Fi",4930,2001-10-06,,,
4,tt0823333,2025-08-01,2025-08-01,,"Blade: The Series","Blade: The Series",https://www.imdb.com/title/tt0823333/,TV Series,6.2,45,2006,"Action, Drama, Fantasy, Horror, Mystery, Sci-Fi",6531,2006-06-28,,,
5,tt2364582,2025-08-01,2025-08-01,,"Agents of S.H.I.E.L.D.","Agents of S.H.I.E.L.D.",https://www.imdb.com/title/tt2364582/,TV Series,7.5,45,2013,"Action, Adventure, Sci-Fi, Thriller",232238,2013-09-24,,,
6,tt3475734,2025-08-01,2025-08-01,,"Agent Carter","Agent Carter",https://www.imdb.com/title/tt3475734/,TV Series,7.8,45,2015,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",92800,2015-01-06,,,
7,tt1851040,2025-08-01,2025-08-01,,"Powers","Powers",https://www.imdb.com/title/tt1851040/,TV Series,6.6,42,2015,"Action, Crime, Drama, Sci-Fi, Thriller",6870,2015-03-10,,,
8,tt3322312,2025-08-01,2025-08-01,,"Daredevil","Daredevil",https://www.imdb.com/title/tt3322312/,TV Series,8.6,60,2015,"Action, Crime, Drama, Sci-Fi, Thriller",512354,2015-04-10,,,
9,tt2357547,2025-08-01,2025-08-01,,"Jessica Jones","Jessica Jones",https://www.imdb.com/title/tt2357547/,TV Series,7.8,56,2015,"Action, Crime, Drama, Sci-Fi, Thriller",235197,2015-11-20,,,
10,tt3322314,2025-08-01,2025-08-01,,"Luke Cage","Luke Cage",https://www.imdb.com/title/tt3322314/,TV Series,7.2,60,2016,"Action, Crime, Drama, Sci-Fi, Thriller",145545,2016-09-30,,,
11,tt6313900,2025-08-18,2025-08-18,,"Agents of S.H.I.E.L.D.: Slingshot","Agents of S.H.I.E.L.D.: Slingshot",https://www.imdb.com/title/tt6313900/,TV Mini Series,6.8,6,2016,"Short, Action, Adventure, Drama, Mystery, Sci-Fi",3622,2016-12-13,,,
12,tt5114356,2025-08-01,2025-08-01,,"Legion","Legion",https://www.imdb.com/title/tt5114356/,TV Series,8.1,60,2017,"Action, Sci-Fi, Thriller",101546,2017-02-08,,,
13,tt3322310,2025-08-01,2025-08-01,,"Iron Fist","Iron Fist",https://www.imdb.com/title/tt3322310/,TV Series,6.4,60,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",145898,2017-03-17,,,
14,tt4230076,2025-08-01,2025-08-01,,"The Defenders","The Defenders",https://www.imdb.com/title/tt4230076/,TV Mini Series,7.2,50,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",123129,2017-08-18,,,
15,tt4154858,2025-08-01,2025-08-01,,"Inhumans","Inhumans",https://www.imdb.com/title/tt4154858/,TV Series,4.9,45,2017,"Action, Adventure, Sci-Fi",30245,2017-09-29,,,
16,tt4396630,2025-08-18,2025-08-18,,"The Gifted","The Gifted",https://www.imdb.com/title/tt4396630/,TV Series,7.2,45,2017,"Action, Fantasy, Sci-Fi",39821,2017-10-02,,,
